customer_id,customer_name,email,phone,age,gender,city,state,tier,pincode,signup_date,is_premium
CUST0020,Oeshi Hayer,ztalwar@example.org,+910163287083,32,Male,Allahabad,West Bengal,Tier 3,727889,2022-04-24,False
CUST0021,Yamini Sandhu,vdutt@example.com,04348734714,27,Female,Lucknow,Haryana,Tier 2,558122,2023-05-08,False
CUST0022,Michael Kala,sachdevanikita@example.com,7603669096,26,Female,Pune,Meghalaya,Tier 1,546688,2022-12-26,False
CUST0023,Vinaya Kanda,rajata70@example.com,06272980699,22,Male,Delhi,Sikkim,Tier 1,162720,2024-07-26,False
CUST0024,Falak Kakar,vnarain@example.com,06417080531,31,Male,Vadodara,Tripura,Tier 2,033092,2023-02-09,False
CUST0025,Urvashi Contractor,udyatikunda@example.com,+919912419049,34,Female,Mathura,Sikkim,Tier 3,631931,2023-01-06,False
CUST0026,Jai Barman,priya51@example.net,5067165726,40,Female,Mumbai,Goa,Tier 1,987769,2024-12-19,False
CUST0027,Yatan Chadha,shravya37@example.net,6507527354,37,Male,Hyderabad,Karnataka,Tier 1,948083,2023-02-21,False
CUST0028,Niharika Suresh,vamakshiswaminathan@example.com,+911436349578,59,Female,Ahmedabad,Mizoram,Tier 1,685574,2022-05-13,False
CUST0029,Vihaan Dara,diyadar@example.net,2337498941,25,Female,Jaipur,Uttarakhand,Tier 2,435240,2023-04-22,False
CUST0030,Anusha Bath,masterjonathan@example.net,01094777520,37,Female,Hyderabad,Himachal Pradesh,Tier 1,116719,2024-04-09,True
CUST0031,Max Dixit,frederick31@example.net,09993867749,34,Female,Vadodara,Maharashtra,Tier 2,990913,2024-09-04,False
CUST0032,Aishani Bumb,wriddhishghose@example.net,+912067974034,29,Male,Mumbai,Tamil Nadu,Tier 1,713493,2024-08-29,False
CUST0033,Umang Dixit,lucky10@example.org,09947174648,45,Male,Jhansi,Nagaland,Tier 3,719065,2023-10-23,True
CUST0034,Atharv Chand,anshluthra@example.net,+912787429671,58,Male,Jhansi,Meghalaya,Tier 3,655125,2024-07-26,False
CUST0035,Bhavya Rattan,shagaurang@example.com,05168087603,42,Female,Delhi,Mizoram,Tier 1,977034,2023-10-02,True
CUST0036,Bhavna Sarma,bdara@example.net,3248086131,34,Male,Ahmedabad,Manipur,Tier 1,274846,2024-05-03,False
CUST0037,Yagnesh Shan,leelahalder@example.net,2146584044,26,Male,Pune,Uttarakhand,Tier 1,278755,2024-01-20,False
CUST0038,Tamanna Nagy,williamrajagopal@example.org,00576627028,28,Female,Chennai,Odisha,Tier 1,171870,2024-05-07,False
CUST0039,Mohammed Borde,vlanka@example.net,6158657809,33,Male,Ahmedabad,Assam,Tier 1,431611,2022-08-12,False
CUST0040,Chandani Balakrishnan,nairdaksh@example.com,05623869222,35,Male,Kolkata,Assam,Tier 1,937923,2023-11-21,False
CUST0041,Tripti Kumer,shroffbhavna@example.net,2175946474,37,Male,Delhi,Gujarat,Tier 1,713695,2023-12-18,False
CUST0042,Chakrika Bains,amaharaj@example.net,0974395339,22,Male,Agra,Himachal Pradesh,Tier 2,104709,2024-06-11,False
CUST0043,Gautam Merchant,ojasvi23@example.org,5884247451,24,Female,Chennai,Manipur,Tier 1,236851,2023-07-21,False
CUST0044,Aishani Yadav,shajyoti@example.net,4965137098,43,Female,Ahmedabad,Karnataka,Tier 1,174612,2023-09-05,True
CUST0045,Daksha Tailor,chatterjeewahab@example.net,+916758692617,31,Male,Delhi,Punjab,Tier 1,405377,2022-03-12,False
CUST0046,Hardik Pillai,darsh64@example.org,+917139005329,38,Female,Patna,Gujarat,Tier 2,839335,2023-01-02,True
CUST0047,Aradhana Dhillon,zashilghosh@example.org,0205395024,29,Female,Pune,Arunachal Pradesh,Tier 1,681177,2022-08-18,False
CUST0048,Siya Thakur,calebverma@example.com,00076617711,32,Male,Chennai,Karnataka,Tier 1,124998,2023-07-17,False
CUST0049,Chaitaly Setty,ychaudhary@example.net,+918367365766,55,Male,Chennai,Telangana,Tier 1,565452,2023-05-21,False
CUST0050,Ekalinga Chand,chanderrachana@example.org,5280988516,22,Female,Lucknow,Kerala,Tier 2,049451,2024-12-02,False
CUST0051,Mohammed Subramaniam,hritikpalla@example.net,01493689980,55,Female,Moradabad,Punjab,Tier 3,024455,2024-06-16,True
CUST0052,Luke Rattan,dharazaan@example.org,8366752545,26,Male,Ahmedabad,Tripura,Tier 1,022901,2022-01-10,True
CUST0053,Panini Sunder,rsachdeva@example.org,1561497840,63,Male,Pune,Haryana,Tier 1,900343,2023-02-27,False
CUST0054,Bimala Narang,amblewidisha@example.net,02268388516,31,Female,Ahmedabad,West Bengal,Tier 1,607159,2022-08-02,False
CUST0055,Omisha Mann,ravelansh@example.com,+919751613696,40,Male,Lucknow,Mizoram,Tier 2,645352,2023-10-29,False
CUST0056,Yashvi Hari,indali23@example.org,+914329212779,35,Male,Moradabad,Tripura,Tier 3,995527,2022-04-29,False
CUST0057,Riya Mitter,daksh58@example.org,07700541199,35,Male,Mumbai,Mizoram,Tier 1,798079,2022-04-17,False
CUST0058,Ekanta Soni,davidseshadri@example.org,01820377889,60,Male,Bangalore,Goa,Tier 1,546659,2024-10-09,True
CUST0059,Dominic Narayan,rajubhanumati@example.com,9251925462,39,Male,Kanpur,Punjab,Tier 2,486528,2022-03-23,True
CUST0060,Yashoda Pathak,patildayamai@example.org,+915733221418,27,Female,Meerut,Tripura,Tier 3,592962,2022-05-26,False
CUST0061,Noah Sarma,royjanya@example.net,3794738347,35,Male,Pune,Uttarakhand,Tier 1,597746,2022-09-10,False
CUST0062,Neel Iyengar,zashilben@example.net,05818141247,40,Male,Chennai,Mizoram,Tier 1,613750,2024-02-21,False
CUST0063,Meghana Thakkar,warinder61@example.com,+910515220472,28,Male,Indore,Tripura,Tier 2,790104,2023-10-07,False
CUST0064,Pallavi Choudhry,wazir41@example.org,+916971179808,32,Female,Delhi,Odisha,Tier 1,246095,2022-12-02,False
CUST0065,Rachit Chada,ekansh88@example.net,8067065405,26,Male,Delhi,Uttar Pradesh,Tier 1,531952,2023-01-09,False
CUST0066,Hamsini Gill,osrinivas@example.org,+911704303054,50,Male,Jhansi,Mizoram,Tier 3,874034,2022-03-10,True
CUST0067,Garima Mahajan,pillairajeshri@example.com,7652775841,40,Female,Surat,Telangana,Tier 2,169284,2023-07-09,False
CUST0068,Fariq Narang,damini79@example.net,02757059640,18,Female,Indore,Assam,Tier 2,582029,2023-05-14,False
CUST0069,Bakhshi Date,keerjeevika@example.com,09092755719,57,Male,Indore,Chhattisgarh,Tier 2,654310,2024-11-19,True
CUST0070,Zarna Ram,lalaabha@example.net,03947312172,34,Male,Delhi,Tamil Nadu,Tier 1,155188,2022-10-17,False
CUST0071,Nakul Ghosh,yashoda31@example.org,+913705895782,26,Female,Bhopal,Punjab,Tier 2,146786,2023-03-28,False
CUST0072,Jeremiah Nadig,senguptaunnati@example.net,5289226801,53,Female,Ahmedabad,Mizoram,Tier 1,422535,2023-09-29,True
CUST0073,Farhan Krishna,anvidass@example.net,09818299229,28,Male,Pune,Telangana,Tier 1,900109,2024-03-17,False
CUST0074,Omaja Balasubramanian,pmann@example.com,03647102767,27,Female,Nagpur,Manipur,Tier 2,592555,2023-02-16,False
CUST0075,Kamala Varma,nagarwyatt@example.com,+914732104696,19,Male,Pune,Haryana,Tier 1,595327,2023-09-12,False
CUST0076,Wishi Morar,fbajaj@example.com,7339500479,34,Female,Gwalior,Uttarakhand,Tier 3,480162,2024-03-10,False
CUST0077,Neha Pau,rattancharan@example.net,3584168784,24,Male,Bangalore,Uttarakhand,Tier 1,216558,2023-02-15,False
CUST0078,Rushil Upadhyay,ctella@example.org,+912578729825,47,Female,Vadodara,Punjab,Tier 2,269495,2023-07-22,False
CUST0079,Chandani Soman,pillaygarima@example.net,+916940974993,23,Female,Chennai,Telangana,Tier 1,972896,2024-02-28,False
CUST0080,Azad Choudhary,anirudhsastry@example.com,02636897028,36,Male,Pune,Gujarat,Tier 1,786527,2022-08-18,False
CUST0081,Irya Lalla,phanda@example.com,4344375758,62,Female,Agra,Uttar Pradesh,Tier 2,419866,2024-04-08,False
CUST0082,Bina Basak,farhan57@example.net,07338484219,41,Male,Mumbai,Telangana,Tier 1,308330,2023-06-21,False
CUST0083,Ganga Sodhi,devanabdul@example.net,+916773454019,48,Female,Surat,Haryana,Tier 2,262067,2022-06-05,False
CUST0084,Baljiwan Andra,hredhaan54@example.com,8872874315,23,Female,Vadodara,Goa,Tier 2,420549,2022-10-17,False
CUST0085,Parth Ravi,uvarma@example.org,01227530463,44,Male,Chennai,Manipur,Tier 1,549904,2024-11-13,False
CUST0086,Warinder Bhatia,shroffdamyanti@example.org,08414593327,26,Male,Vadodara,Chhattisgarh,Tier 2,956878,2024-10-12,True
CUST0087,Yug Bumb,twable@example.com,+919108839822,48,Female,Kolkata,Karnataka,Tier 1,139718,2024-10-28,False
CUST0088,Sudiksha Deo,kshan@example.org,7406403910,31,Female,Nagpur,Maharashtra,Tier 2,180170,2023-11-24,False
CUST0089,Pranit Deshmukh,yprasad@example.com,06182512868,24,Female,Bareilly,Chhattisgarh,Tier 3,004786,2023-03-22,True
CUST0090,Victor Kota,jpal@example.com,+911069033119,27,Male,Moradabad,Arunachal Pradesh,Tier 3,903067,2024-04-06,False
CUST0091,Daksh Dey,vivaan95@example.net,5342836440,28,Female,Patna,Nagaland,Tier 2,687056,2022-12-31,False
CUST0092,Omaja Rege,charitapuri@example.org,7334270866,35,Male,Pune,Nagaland,Tier 1,634351,2024-03-25,False
CUST0093,George Wason,charanloyal@example.com,9901398373,55,Male,Mumbai,West Bengal,Tier 1,403317,2023-11-30,False
CUST0094,Mekhala Khatri,barkha67@example.net,5445877175,38,Male,Patna,Gujarat,Tier 2,560932,2023-01-12,True
CUST0095,Omisha Merchant,rohannarayan@example.org,09378547772,29,Male,Indore,Telangana,Tier 2,228728,2022-01-26,False
CUST0096,Bahadurjit Borde,ahujanitara@example.org,3120387509,28,Male,Bhopal,Rajasthan,Tier 2,700886,2024-09-24,False
CUST0097,Anvi Wason,anay86@example.org,+911823398454,28,Male,Pune,Uttar Pradesh,Tier 1,156793,2022-01-19,False
CUST0098,Charita Buch,chandernidra@example.com,08700217659,39,Female,Bareilly,West Bengal,Tier 3,803397,2024-12-19,False
CUST0099,Falan Mand,goladivya@example.org,+919261429396,34,Male,Hyderabad,Sikkim,Tier 1,621850,2023-02-26,False
CUST0100,Vincent Borra,mekhala50@example.net,07735866296,35,Female,Pune,Assam,Tier 1,311426,2022-06-01,False
CUST0101,Lopa Nadig,hredhaan10@example.com,05412126788,26,Male,Ahmedabad,Mizoram,Tier 1,101581,2024-09-11,False
CUST0102,Lekha Arora,odika61@example.net,3982622444,25,Male,Vadodara,Meghalaya,Tier 2,126464,2024-07-16,False
CUST0103,Jalsa Krishnamurthy,warhihayre@example.com,+912406596575,29,Female,Nagpur,Maharashtra,Tier 2,459375,2024-01-23,False
CUST0104,Eiravati Manne,ukibe@example.com,06519398280,26,Male,Indore,Telangana,Tier 2,374167,2022-10-03,True
CUST0105,Wyatt Krishnan,pallavipurohit@example.org,09796886805,32,Female,Chennai,Tamil Nadu,Tier 1,135290,2022-08-05,True
CUST0106,Garima Sani,anneguneet@example.com,+918889937567,37,Male,Pune,Tripura,Tier 1,507146,2024-05-24,False
CUST0107,Lucky Pall,hemal73@example.net,05717751401,27,Female,Ahmedabad,Andhra Pradesh,Tier 1,123828,2022-05-14,True
CUST0108,Pooja Shere,nidhigour@example.org,6609379660,42,Male,Patna,Tamil Nadu,Tier 2,341918,2022-09-06,False
CUST0109,Eshana Hegde,qcomar@example.net,08596969155,59,Male,Bangalore,West Bengal,Tier 1,924991,2022-10-18,True
CUST0110,Dhriti Dalal,dalajadada@example.org,02866929662,46,Male,Chennai,Meghalaya,Tier 1,827422,2024-11-10,False
CUST0111,Chatresh Parmer,sundaramlaban@example.org,08876767721,63,Female,Indore,Odisha,Tier 2,340438,2023-05-04,False
CUST0112,Tanvi Tandon,comaramrita@example.net,08078361340,36,Female,Meerut,Manipur,Tier 3,517133,2023-03-25,False
CUST0113,Priya Gandhi,samueljhaveri@example.org,5849825449,34,Female,Surat,Himachal Pradesh,Tier 2,260422,2024-07-02,False
CUST0114,Ekanta Kota,jsuri@example.net,4667116845,27,Male,Ahmedabad,Manipur,Tier 1,590175,2023-01-23,False
CUST0115,Tejas Sanghvi,wardaloyal@example.com,05892975001,34,Female,Vadodara,Rajasthan,Tier 2,012770,2022-04-09,False
CUST0116,Kevin Mittal,anushachander@example.net,04152064361,28,Male,Delhi,Tamil Nadu,Tier 1,037129,2023-10-27,False
CUST0117,Aditya Anand,jai62@example.com,+913611155426,24,Male,Lucknow,Tripura,Tier 2,218909,2022-12-18,False
CUST0118,Ria Panchal,maxsabharwal@example.net,7311219656,22,Male,Bhopal,Karnataka,Tier 2,341389,2024-10-06,False
CUST0119,Avi Mitra,zarnaupadhyay@example.org,6403761379,26,Male,Pune,Assam,Tier 1,552696,2024-07-21,False
CUST0120,Urishilla Bora,birakshay@example.com,+910068486661,39,Female,Kanpur,Rajasthan,Tier 2,414183,2023-07-22,False
CUST0121,Mahika Bhatti,rajeshri30@example.org,+916179904210,18,Male,Pune,Tamil Nadu,Tier 1,027588,2022-08-30,False
CUST0122,Kamya Date,jacob05@example.com,08149177850,59,Male,Agra,Meghalaya,Tier 2,524191,2023-02-07,False
CUST0123,Chaitanya Arora,chakradharsodhi@example.com,02208635365,36,Male,Lucknow,Himachal Pradesh,Tier 2,951802,2022-12-21,False
CUST0124,Nandini Biswas,xmandal@example.com,01870534949,21,Male,Pune,Haryana,Tier 1,597383,2022-12-13,False
CUST0125,Nimrat Bajwa,hiralandra@example.com,+916413836702,25,Male,Pune,Tamil Nadu,Tier 1,103865,2022-08-22,True
CUST0126,Girish Tiwari,meeraborde@example.net,0623445655,21,Male,Nagpur,Manipur,Tier 2,313291,2023-12-14,False
CUST0127,Nitesh Sengupta,amurthy@example.org,5374741124,37,Male,Mumbai,Uttarakhand,Tier 1,352135,2022-08-30,False
CUST0128,Chandani Lad,azaanravel@example.com,8317121003,30,Male,Mumbai,Chhattisgarh,Tier 1,651994,2023-09-08,False
CUST0129,Dhruv Hora,fdave@example.com,+910702966706,30,Female,Patna,Sikkim,Tier 2,253244,2022-04-27,False
CUST0130,Bakhshi Korpal,wishi68@example.com,+911462638380,23,Male,Hyderabad,Madhya Pradesh,Tier 1,787598,2023-11-24,False
CUST0131,Anamika Gole,nagartheodore@example.org,00785932133,29,Female,Mathura,Himachal Pradesh,Tier 3,396522,2023-05-15,False
CUST0132,Jagrati Bala,lucky93@example.com,4270103930,42,Female,Indore,Mizoram,Tier 2,059325,2023-01-03,True
CUST0133,Daniel Bains,luckychoudhry@example.net,01569154522,24,Male,Mumbai,Telangana,Tier 1,752895,2022-10-03,False
CUST0134,Kritika Mohanty,joshua20@example.net,6902959391,26,Female,Lucknow,Meghalaya,Tier 2,513552,2022-12-13,False
CUST0135,Gautami Sekhon,lankashaurya@example.org,1541006762,36,Female,Bangalore,Maharashtra,Tier 1,658617,2024-09-15,True
CUST0136,Nicholas Seth,bandichaitaly@example.org,04115262181,60,Male,Surat,Karnataka,Tier 2,062962,2024-06-16,True
CUST0137,Garima Jha,nimratzachariah@example.com,4431069872,39,Female,Hyderabad,Arunachal Pradesh,Tier 1,061497,2022-03-25,False
CUST0138,Atharv Jhaveri,bishakhabumb@example.com,+914677418625,23,Female,Bhopal,Madhya Pradesh,Tier 2,270477,2022-11-07,False
CUST0139,Amruta Bhatia,gunbirchada@example.net,08693806868,43,Female,Delhi,Sikkim,Tier 1,937416,2023-02-14,False
CUST0140,Jai Sen,oliverkakar@example.org,+910616329451,63,Female,Delhi,Assam,Tier 1,868548,2022-02-23,False
CUST0141,Oni Chowdhury,jdoctor@example.net,9119148564,30,Male,Pune,Madhya Pradesh,Tier 1,997024,2023-12-13,False
CUST0142,Neelima Barad,snarula@example.org,+917450544471,45,Male,Agra,West Bengal,Tier 2,247546,2023-09-18,False
CUST0143,Raghav Sathe,niharikasundaram@example.net,00821486289,45,Female,Nagpur,Andhra Pradesh,Tier 2,330307,2024-07-28,False
CUST0144,Rushil Mahal,ucchal86@example.net,+910357972798,60,Male,Patna,Kerala,Tier 2,241406,2022-03-20,False
CUST0145,Tanish Kant,samuelluthra@example.net,08007229034,33,Male,Lucknow,Punjab,Tier 2,466574,2022-03-19,False
CUST0146,Chasmum Verma,achaudry@example.net,5899441715,46,Female,Hyderabad,Himachal Pradesh,Tier 1,444328,2022-12-05,True
CUST0147,Netra Nagarajan,atharvtank@example.com,06660993538,27,Male,Jhansi,Rajasthan,Tier 3,584282,2023-01-09,False
CUST0148,Urishilla Dave,qadim51@example.org,03465549471,21,Female,Pune,Meghalaya,Tier 1,999173,2023-04-02,True
CUST0149,Lakshmi Wagle,odika02@example.org,+915697252175,44,Male,Chennai,Rajasthan,Tier 1,500743,2024-02-17,False
CUST0150,Vrishti Chakrabarti,radhasanghvi@example.com,07600835058,27,Male,Bhopal,Gujarat,Tier 2,033542,2022-09-19,False
CUST0151,Yahvi Mohan,dhruvbath@example.com,07898562575,40,Male,Delhi,Tripura,Tier 1,260332,2022-06-09,False
CUST0152,Yamini Gara,peribaljiwan@example.com,4890901001,37,Male,Bhopal,Maharashtra,Tier 2,618472,2022-11-25,False
CUST0153,Charvi Salvi,venkateshanamika@example.net,2618914117,26,Female,Delhi,Gujarat,Tier 1,483564,2022-11-16,False
CUST0154,Watika Johal,pnarayanan@example.org,+911197218114,32,Male,Kanpur,Rajasthan,Tier 2,744701,2022-09-07,False
CUST0155,Bina Parsa,pooja11@example.org,+912255794155,29,Female,Patna,Goa,Tier 2,667467,2022-09-29,False
CUST0156,Isaiah Deo,duttahemang@example.com,7972965902,24,Male,Hyderabad,Meghalaya,Tier 1,167014,2023-10-18,True
CUST0157,Advik Vohra,hamsinivenkataraman@example.net,9163756289,42,Male,Jaipur,Arunachal Pradesh,Tier 2,287721,2024-10-14,False
CUST0158,Wridesh Narayanan,chandresh83@example.net,6631779717,41,Female,Ahmedabad,Manipur,Tier 1,170166,2024-02-03,False
CUST0159,Gavin Modi,tanmayiom@example.com,+913758997571,23,Male,Hyderabad,Bihar,Tier 1,055488,2022-02-25,False
CUST0160,Chakradev Gala,tdey@example.net,6149331637,19,Male,Bangalore,Uttarakhand,Tier 1,516091,2023-08-04,False
CUST0161,Yamini Desai,hagrawal@example.net,+918697829221,34,Female,Moradabad,Madhya Pradesh,Tier 3,866934,2023-12-01,True
CUST0162,Chaitaly Sethi,lakshitsachar@example.net,8485833394,33,Female,Agra,Sikkim,Tier 2,228851,2023-09-11,False
CUST0163,Omisha Walla,pahal08@example.org,+916200342442,32,Male,Ahmedabad,Uttarakhand,Tier 1,438057,2023-07-02,True
CUST0164,Lopa Khanna,champak66@example.com,5800439735,32,Female,Bareilly,Tripura,Tier 3,347212,2022-06-09,False
CUST0165,Krishna Baria,jmallick@example.com,+912940572025,37,Male,Delhi,Punjab,Tier 1,947985,2022-09-27,True
CUST0166,Thomas Gour,tiwarinathaniel@example.com,8615335554,28,Female,Lucknow,Gujarat,Tier 2,801573,2022-04-24,True
CUST0167,Balveer Nagi,ycomar@example.com,4085887704,36,Female,Vadodara,Rajasthan,Tier 2,581128,2024-09-24,False
CUST0168,Dominic Kade,paninichawla@example.org,6120750110,32,Male,Jaipur,Goa,Tier 2,819346,2024-04-08,False
CUST0169,Nidhi Sant,anay61@example.net,+919190158144,28,Female,Mathura,Punjab,Tier 3,476607,2023-08-26,False
CUST0170,Laban Raman,maanas45@example.org,8210099688,58,Male,Patna,Assam,Tier 2,353682,2022-08-31,False
CUST0171,Timothy Krishnan,ishwargolla@example.net,0878141413,25,Male,Indore,Telangana,Tier 2,552314,2022-09-08,True
CUST0172,Rishi Nadkarni,vseshadri@example.net,4929955620,32,Female,Mumbai,Karnataka,Tier 1,364525,2024-08-20,False
CUST0173,Sanaya Parmer,vidhi81@example.org,9142834110,40,Female,Chennai,West Bengal,Tier 1,996930,2024-01-16,False
CUST0174,Urmi Dixit,manya39@example.net,02788165803,55,Female,Indore,West Bengal,Tier 2,827229,2024-05-06,False
CUST0175,Veda Parmer,kandavinaya@example.org,+914530385677,56,Male,Indore,Arunachal Pradesh,Tier 2,518449,2024-05-28,False
CUST0176,Krisha Radhakrishnan,faras84@example.com,+918655779082,53,Female,Nagpur,Manipur,Tier 2,318432,2024-04-25,True
CUST0177,Janaki Dani,oeshinarayanan@example.net,+917773926030,28,Female,Bangalore,Chhattisgarh,Tier 1,280920,2022-10-18,False
CUST0178,Pranit Varughese,ubahl@example.net,4137977236,24,Female,Hyderabad,Punjab,Tier 1,929842,2022-09-16,False
CUST0179,Sudiksha Biswas,kritikarajan@example.org,+910388629127,33,Male,Bareilly,Punjab,Tier 3,881172,2024-12-01,True
CUST0180,Raagini Vig,cprabhakar@example.net,6376599162,31,Male,Mumbai,Himachal Pradesh,Tier 1,314986,2024-07-26,False
CUST0181,Abdul Amble,venkateshabhimanyu@example.com,3565126944,60,Female,Delhi,West Bengal,Tier 1,959463,2023-02-05,False
CUST0182,Praneel Prabhakar,tkulkarni@example.net,06213721386,64,Female,Aligarh,Uttar Pradesh,Tier 3,890260,2023-10-04,False
CUST0183,Urishilla Saran,bhattadya@example.org,01906698490,42,Male,Mumbai,Tripura,Tier 1,770384,2022-05-22,False
CUST0184,Yashvi Varty,omkaarbanik@example.com,+910214656693,25,Female,Allahabad,Mizoram,Tier 3,118489,2022-10-30,False
CUST0185,Aradhana Kara,suhaniraval@example.net,+914268181845,23,Male,Ahmedabad,Bihar,Tier 1,894769,2023-06-25,False
CUST0186,Harinakshi Shanker,ebala@example.org,01633565880,47,Male,Indore,Tamil Nadu,Tier 2,341651,2024-01-22,False
CUST0187,Vamakshi Murthy,tejas94@example.org,3733343333,58,Female,Hyderabad,Uttarakhand,Tier 1,211179,2024-05-11,False
CUST0188,Vasatika Prabhu,waida94@example.com,+918463920867,28,Male,Ahmedabad,Nagaland,Tier 1,856271,2022-01-11,False
CUST0189,Diya Anand,kadeladli@example.net,+915594284347,33,Female,Pune,Punjab,Tier 1,527636,2024-12-20,False
CUST0190,Janya Rattan,shravya29@example.org,3143866322,31,Male,Lucknow,Meghalaya,Tier 2,267288,2024-12-24,False
CUST0191,Charita Krishna,raohardik@example.net,+910347175455,36,Female,Patna,Nagaland,Tier 2,506159,2023-05-06,False
CUST0192,Bhavani Pant,yashvi77@example.org,09472256996,56,Male,Lucknow,West Bengal,Tier 2,125355,2022-11-06,False
CUST0193,Amara Rana,sai59@example.net,06220234132,61,Female,Delhi,Madhya Pradesh,Tier 1,117800,2024-10-11,False
CUST0194,Hemang Lala,fradoramakrishnan@example.com,+913472282005,34,Female,Bangalore,West Bengal,Tier 1,778487,2023-09-09,True
CUST0195,Tanmayi Saran,idika78@example.org,+917456424008,54,Male,Mathura,Uttarakhand,Tier 3,547807,2022-07-29,True
CUST0196,Aditya Sani,vihaan08@example.com,+916866326634,33,Female,Surat,Assam,Tier 2,389448,2024-01-12,False
CUST0197,Raghav Biswas,labanmann@example.org,7974973502,45,Female,Hyderabad,Arunachal Pradesh,Tier 1,214427,2023-02-22,False
CUST0198,Gautam Dora,takteerth@example.com,04757051204,30,Female,Lucknow,Tripura,Tier 2,187234,2022-01-13,False
CUST0199,Jairaj Kothari,psavant@example.net,+913718376452,48,Male,Jhansi,Rajasthan,Tier 3,881474,2023-08-16,False
CUST0200,Charles Kamdar,keerradha@example.com,+912491630097,56,Male,Pune,Tamil Nadu,Tier 1,513271,2022-11-05,False
CUST0201,Darpan Bhasin,mitesh81@example.org,03585730652,28,Female,Hyderabad,Himachal Pradesh,Tier 1,778487,2024-12-01,False
CUST0202,Ijaya Naik,mmaharaj@example.net,+911827448570,24,Male,Ahmedabad,Tripura,Tier 1,209593,2022-10-22,False
CUST0203,Lila Gupta,ndube@example.com,06511810220,34,Male,Lucknow,Gujarat,Tier 2,731096,2023-05-14,False
CUST0204,Aahana Bawa,timothy91@example.org,+917170586509,39,Female,Chennai,Himachal Pradesh,Tier 1,141381,2024-10-19,False
CUST0205,Lekha Gupta,yuvrajgola@example.net,8619576122,22,Female,Vadodara,Nagaland,Tier 2,852897,2022-06-07,False
CUST0206,Ekta Prabhu,usani@example.com,3983684577,30,Female,Surat,Madhya Pradesh,Tier 2,049082,2023-07-02,False
CUST0207,Charita Kapadia,divyabains@example.net,08889921075,33,Male,Firozabad,Chhattisgarh,Tier 3,459334,2023-04-14,False
CUST0208,Mugdha Kalla,nairvasudha@example.org,09194096105,48,Female,Kanpur,Kerala,Tier 2,613906,2023-04-12,False
CUST0209,Benjamin Nagar,etathakkar@example.net,+912067998136,32,Female,Jaipur,Jharkhand,Tier 2,225179,2022-03-26,False
CUST0210,Adweta Chada,bthaker@example.net,+912783769389,24,Male,Indore,Telangana,Tier 2,314659,2022-03-18,False
CUST0211,Odika Sampath,ijaya35@example.com,0425979270,39,Female,Kolkata,Uttarakhand,Tier 1,352110,2022-05-20,False
CUST0212,Bhavna Atwal,indrajit47@example.com,+915383388487,47,Male,Agra,Punjab,Tier 2,069804,2023-01-13,False
